gid,latitude,longitude,elevation,timezone,config,geometry,index_right
10736,22.65,70.25,0.0,5.5,default,POINT (70.25 22.65),211
9401,21.15,69.85,0.0,5.5,default,POINT (69.84999999999999 21.15),24
9732,21.25,69.95,0.0,5.5,default,POINT (69.95 21.25),24
10062,21.25,70.05,0.0,5.5,default,POINT (70.05 21.25),24
10063,21.35,70.05,0.0,5.5,default,POINT (70.05 21.35),24
10069,21.95,70.05,0.0,5.5,default,POINT (70.05 21.95),24
10392,21.25,70.15,0.0,5.5,default,POINT (70.15000000000001 21.25),24
10393,21.35,70.15,0.0,5.5,default,POINT (70.15000000000001 21.35),24
10394,21.45,70.15,0.0,5.5,default,POINT (70.15000000000001 21.45),24
10395,21.55,70.15,0.0,5.5,default,POINT (70.15000000000001 21.55),24
10396,21.65,70.15,0.0,5.5,default,POINT (70.15000000000001 21.65),24
10397,21.75,70.15,0.0,5.5,default,POINT (70.15000000000001 21.75),24
10398,21.85,70.15,0.0,5.5,default,POINT (70.15000000000001 21.85),24
10724,21.45,70.25,0.0,5.5,default,POINT (70.25 21.45),24
10725,21.55,70.25,0.0,5.5,default,POINT (70.25 21.55),24
10726,21.65,70.25,0.0,5.5,default,POINT (70.25 21.65),24
10727,21.75,70.25,0.0,5.5,default,POINT (70.25 21.75),24
10399,21.95,70.15,0.0,5.5,default,POINT (70.15000000000001 21.95),27
10400,22.05,70.15,0.0,5.5,default,POINT (70.15000000000001 22.05),212
10731,22.15,70.25,0.0,5.5,default,POINT (70.25 22.15),212
11063,22.35,70.35,0.0,5.5,default,POINT (70.34999999999999 22.35),212
8763,23.35,69.65,0.0,5.5,default,POINT (69.65000000000001 23.35),263
9093,23.35,69.75,0.0,5.5,default,POINT (69.75 23.35),263
9423,23.35,69.85,0.0,5.5,default,POINT (69.84999999999999 23.35),263
9753,23.35,69.95,0.0,5.5,default,POINT (69.95 23.35),263
9754,23.45,69.95,0.0,5.5,default,POINT (69.95 23.45),263
10083,23.35,70.05,0.0,5.5,default,POINT (70.05 23.35),263
10084,23.45,70.05,0.0,5.5,default,POINT (70.05 23.45),263
10414,23.45,70.15,0.0,5.5,default,POINT (70.15000000000001 23.45),263
10415,23.55,70.15,0.0,5.5,default,POINT (70.15000000000001 23.55),263
10745,23.55,70.25,0.0,5.5,default,POINT (70.25 23.55),263
10746,23.65,70.25,0.0,5.5,default,POINT (70.25 23.65),263
10747,23.75,70.25,0.0,5.5,default,POINT (70.25 23.75),263
10748,23.85,70.25,0.0,5.5,default,POINT (70.25 23.85),263
10749,23.95,70.25,0.0,5.5,default,POINT (70.25 23.95),263
10728,21.85,70.25,0.0,5.5,default,POINT (70.25 21.85),26
10729,21.95,70.25,0.0,5.5,default,POINT (70.25 21.95),26
10730,22.05,70.25,0.0,5.5,default,POINT (70.25 22.05),26
11054,21.45,70.35,0.0,5.5,default,POINT (70.34999999999999 21.45),26
11055,21.55,70.35,0.0,5.5,default,POINT (70.34999999999999 21.55),26
11056,21.65,70.35,0.0,5.5,default,POINT (70.34999999999999 21.65),26
11057,21.75,70.35,0.0,5.5,default,POINT (70.34999999999999 21.75),26
11058,21.85,70.35,0.0,5.5,default,POINT (70.34999999999999 21.85),26
11059,21.95,70.35,0.0,5.5,default,POINT (70.34999999999999 21.95),26
11060,22.05,70.35,0.0,5.5,default,POINT (70.34999999999999 22.05),26
11385,21.55,70.45,0.0,5.5,default,POINT (70.45 21.55),26
11386,21.65,70.45,0.0,5.5,default,POINT (70.45 21.65),26
11387,21.75,70.45,0.0,5.5,default,POINT (70.45 21.75),26
11388,21.85,70.45,0.0,5.5,default,POINT (70.45 21.85),26
11389,21.95,70.45,0.0,5.5,default,POINT (70.45 21.95),26
11390,22.05,70.45,0.0,5.5,default,POINT (70.45 22.05),26
10723,21.35,70.25,0.0,5.5,default,POINT (70.25 21.35),25
11384,21.45,70.45,0.0,5.5,default,POINT (70.45 21.45),25
11716,21.65,70.55,0.0,5.5,default,POINT (70.55 21.65),25
11717,21.75,70.55,0.0,5.5,default,POINT (70.55 21.75),25
11718,21.85,70.55,0.0,5.5,default,POINT (70.55 21.85),25
11061,22.15,70.35,0.0,5.5,default,POINT (70.34999999999999 22.15),21
11062,22.25,70.35,0.0,5.5,default,POINT (70.34999999999999 22.25),21
11064,22.45,70.35,0.0,5.5,default,POINT (70.34999999999999 22.45),21
11391,22.15,70.45,0.0,5.5,default,POINT (70.45 22.15),21
11392,22.25,70.45,0.0,5.5,default,POINT (70.45 22.25),21
10078,22.85,70.05,0.0,5.5,default,POINT (70.05 22.85),20
10408,22.85,70.15,0.0,5.5,default,POINT (70.15000000000001 22.85),20
10737,22.75,70.25,0.0,5.5,default,POINT (70.25 22.75),20
10738,22.85,70.25,0.0,5.5,default,POINT (70.25 22.85),20
11065,22.55,70.35,0.0,5.5,default,POINT (70.34999999999999 22.55),20
11066,22.65,70.35,0.0,5.5,default,POINT (70.34999999999999 22.65),20
11067,22.75,70.35,0.0,5.5,default,POINT (70.34999999999999 22.75),20
11068,22.85,70.35,0.0,5.5,default,POINT (70.34999999999999 22.85),20
